#LIBRARY    ENDF/B-VIII.1
#REACTION   GD-155(N,G)GD-156,SIG
#NUCLEUS    Gd-155
#MF         3
#MT         102
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 2.33948916e-01 1307.926147 Lin-Lin
 2.40596682e-01 1217.246826 Lin-Lin
 2.47433335e-01 1132.950684 Lin-Lin
 2.54464269e-01 1054.597046 Lin-Lin
 2.61694968e-01 981.773987 Lin-Lin
 2.69131154e-01 914.096375 Lin-Lin
 2.76778638e-01 851.204895 Lin-Lin
 2.84643412e-01 792.764282 Lin-Lin
 2.92731702e-01 738.461914 Lin-Lin
 3.01049799e-01 688.006531 Lin-Lin
 3.09604257e-01 641.126953 Lin-Lin
 3.18401784e-01 597.570557 Lin-Lin
 3.27449322e-01 557.102234 Lin-Lin
 3.36753935e-01 519.503174 Lin-Lin
 3.46322954e-01 484.569519 Lin-Lin
 3.56163859e-01 452.114136 Lin-Lin
 3.66284430e-01 421.965942 Lin-Lin
 3.76692563e-01 393.959381 Lin-Lin
 3.87396455e-01 367.934723 Lin-Lin
 3.98404479e-01 343.750885 Lin-Lin
 4.09725338e-01 321.280823 Lin-Lin
 4.21367854e-01 300.404358 Lin-Lin
 4.33341205e-01 281.008850 Lin-Lin
 4.45654780e-01 262.989655 Lin-Lin
 4.58318263e-01 246.249924 Lin-Lin
 4.71341580e-01 230.702621 Lin-Lin
 4.84734952e-01 216.271500 Lin-Lin
 4.98508900e-01 202.871979 Lin-Lin
 5.12674272e-01 190.414948 Lin-Lin
 5.27242124e-01 178.838470 Lin-Lin
 5.42223930e-01 168.088364 Lin-Lin
 5.57631493e-01 158.107437 Lin-Lin
 5.73476851e-01 148.841248 Lin-Lin
 5.89772403e-01 140.247681 Lin-Lin
 6.06531084e-01 132.280746 Lin-Lin
 6.23765886e-01 124.891327 Lin-Lin
 6.41490519e-01 118.042259 Lin-Lin
 6.59718752e-01 111.699089 Lin-Lin
 6.78464949e-01 105.830666 Lin-Lin
 6.97743833e-01 100.404922 Lin-Lin
 7.17570484e-01 95.389374 Lin-Lin
 7.37960577e-01 90.760178 Lin-Lin
 7.58930087e-01 86.495033 Lin-Lin
 7.86001086e-01 81.639771 Lin-Lin
 8.13997805e-01 77.288506 Lin-Lin
 8.43033075e-01 73.395790 Lin-Lin
 8.73061240e-01 69.943832 Lin-Lin
 9.04203296e-01 66.899017 Lin-Lin
 9.36410308e-01 64.249374 Lin-Lin
 9.69812036e-01 61.971813 Lin-Lin
 1.00435591e+00 60.062653 Lin-Lin
 1.04018128e+00 58.511356 Lin-Lin
 1.07723165e+00 57.323204 Lin-Lin
 1.11565650e+00 56.507141 Lin-Lin
 1.15539527e+00 56.079464 Lin-Lin
 1.17929673e+00 56.013710 Lin-Lin
 1.22136223e+00 56.254410 Lin-Lin
 1.25606775e+00 56.793652 Lin-Lin
 1.29175949e+00 57.689064 Lin-Lin
 1.32846546e+00 58.987434 Lin-Lin
 1.36621439e+00 60.758678 Lin-Lin
 1.39519405e+00 62.457005 Lin-Lin
 1.42485845e+00 64.536911 Lin-Lin
 1.45508218e+00 67.059296 Lin-Lin
 1.48601985e+00 70.130241 Lin-Lin
 1.50698495e+00 72.537582 Lin-Lin
