#LIBRARY    ENDF/B-VIII.1
#REACTION   U-235(N,TOT),SIG
#NUCLEUS    U-235
#MF         3
#MT         1
#EN-MIN     1e-05
#EN-MAX     3e+07
#E,eV        Sig,b        Interpolation
 1.56138074e-02 904.774963 Lin-Lin
 1.56406406e-02 903.996338 Lin-Lin
 1.58340894e-02 898.383057 Lin-Lin
 1.72226056e-02 858.994507 Lin-Lin
 1.72522049e-02 858.252197 Lin-Lin
 1.73440967e-02 855.947693 Lin-Lin
 1.89971719e-02 815.426025 Lin-Lin
 1.90298203e-02 814.734131 Lin-Lin
 2.08088215e-02 777.032532 Lin-Lin
 2.09545810e-02 774.010681 Lin-Lin
 2.09905952e-02 773.349792 Lin-Lin
 2.23187041e-02 748.975647 Lin-Lin
 2.27921214e-02 740.288635 Lin-Lin
 2.31136773e-02 734.515686 Lin-Lin
 2.31534019e-02 733.878540 Lin-Lin
 2.47907992e-02 707.616272 Lin-Lin
 2.52202768e-02 700.817871 Lin-Lin
 2.52418797e-02 700.494812 Lin-Lin
 2.52999999e-02 699.625732 Lin-Lin
 2.75185965e-02 668.775818 Lin-Lin
 2.79068351e-02 663.493042 Lin-Lin
 2.99317464e-02 639.008118 Lin-Lin
 3.07822693e-02 628.947083 Lin-Lin
 3.25565077e-02 610.275085 Lin-Lin
 3.39539796e-02 595.888306 Lin-Lin
 3.54114398e-02 582.532288 Lin-Lin
 3.74524966e-02 564.235779 Lin-Lin
 3.85167263e-02 555.744080 Lin-Lin
 4.13114876e-02 533.926208 Lin-Lin
 4.18943167e-02 529.874573 Lin-Lin
 4.55680974e-02 504.881378 Lin-Lin
 4.95640337e-02 481.119812 Lin-Lin
 4.99136634e-02 479.080139 Lin-Lin
 5.02632931e-02 477.257935 Lin-Lin
 5.39103821e-02 458.250061 Lin-Lin
 5.46709634e-02 454.360382 Lin-Lin
 5.54422699e-02 450.839172 Lin-Lin
 5.86378686e-02 436.250458 Lin-Lin
 5.98846190e-02 430.663666 Lin-Lin
 6.15862645e-02 423.858795 Lin-Lin
 6.37799203e-02 415.086395 Lin-Lin
 6.55922517e-02 407.972961 Lin-Lin
 6.79319277e-02 399.794006 Lin-Lin
 6.93728775e-02 394.756775 Lin-Lin
 7.18474090e-02 386.267334 Lin-Lin
 7.49314278e-02 376.862976 Lin-Lin
 7.54562989e-02 375.262451 Lin-Lin
 7.86952227e-02 365.572632 Lin-Lin
 8.20731744e-02 356.571320 Lin-Lin
 8.32310840e-02 353.544891 Lin-Lin
 8.55961293e-02 347.363342 Lin-Lin
 8.92703012e-02 338.786896 Lin-Lin
 9.18069631e-02 332.982452 Lin-Lin
 9.31021944e-02 330.018677 Lin-Lin
 9.70985591e-02 321.894653 Lin-Lin
 1.01266466e-01 313.597473 Lin-Lin
 1.05613284e-01 305.956085 Lin-Lin
 1.10146686e-01 298.161407 Lin-Lin
 1.11700654e-01 295.797821 Lin-Lin
 1.14874683e-01 290.970184 Lin-Lin
 1.16495356e-01 288.559814 Lin-Lin
 1.18972257e-01 284.877777 Lin-Lin
 1.24079086e-01 278.190399 Lin-Lin
 1.28498688e-01 272.542908 Lin-Lin
 1.34014428e-01 266.420227 Lin-Lin
 1.35905132e-01 264.377594 Lin-Lin
 1.38794720e-01 261.255829 Lin-Lin
