#LIBRARY    ENDF/B-VII.1
#REACTION   U-235(N,F`),SIG
#NUCLEUS    U-235
#MF         3
#MT         19
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 4.60478723e-01 92.083000 Lin-Lin
 4.76903975e-01 87.487190 Lin-Lin
 4.93890911e-01 83.356224 Lin-Lin
 5.11507988e-01 79.619751 Lin-Lin
 5.29727459e-01 76.239204 Lin-Lin
 5.52465796e-01 72.586540 Lin-Lin
 5.76180100e-01 69.326241 Lin-Lin
 6.00912392e-01 66.417206 Lin-Lin
 6.26706243e-01 63.829407 Lin-Lin
 6.53607309e-01 61.543518 Lin-Lin
 6.81663096e-01 59.554901 Lin-Lin
 7.10923195e-01 57.863270 Lin-Lin
 7.41439223e-01 56.482250 Lin-Lin
 7.73265183e-01 55.460121 Lin-Lin
 8.00847530e-01 54.926239 Lin-Lin
 8.29373062e-01 54.746670 Lin-Lin
 8.53760898e-01 54.932026 Lin-Lin
 8.78020883e-01 55.478111 Lin-Lin
 8.96689236e-01 56.188484 Lin-Lin
 9.15709555e-01 57.222294 Lin-Lin
 9.35179174e-01 58.670326 Lin-Lin
 9.48372900e-01 59.919876 Lin-Lin
 9.61752713e-01 61.449318 Lin-Lin
 9.75321293e-01 63.315186 Lin-Lin
 9.89081323e-01 65.587265 Lin-Lin
 1.00303555e+00 68.350410 Lin-Lin
 1.01362395e+00 70.803001 Lin-Lin
 1.02431154e+00 73.629547 Lin-Lin
 1.03514993e+00 76.889862 Lin-Lin
 1.04609036e+00 80.606796 Lin-Lin
 1.05341780e+00 83.336723 Lin-Lin
 1.06827974e+00 89.405579 Lin-Lin
 1.09481430e+00 100.906845 Lin-Lin
 1.10557437e+00 104.901321 Lin-Lin
 1.11251342e+00 106.894981 Lin-Lin
 1.11839926e+00 108.076950 Lin-Lin
 1.12526608e+00 108.721573 Lin-Lin
 1.12722790e+00 108.741318 Lin-Lin
 1.13155890e+00 108.503700 Lin-Lin
 1.13728094e+00 107.565102 Lin-Lin
 1.14241827e+00 106.095139 Lin-Lin
 1.14755559e+00 104.032417 Lin-Lin
 1.15332150e+00 101.042114 Lin-Lin
 1.15940177e+00 97.188072 Lin-Lin
 1.16548204e+00 92.727867 Lin-Lin
 1.17370355e+00 85.986710 Lin-Lin
 1.19443107e+00 67.742722 Lin-Lin
 1.20282733e+00 60.727570 Lin-Lin
 1.20916855e+00 55.791660 Lin-Lin
 1.21550989e+00 51.224434 Lin-Lin
 1.22194064e+00 46.993549 Lin-Lin
 1.22622776e+00 44.399803 Lin-Lin
 1.23051488e+00 41.984875 Lin-Lin
 1.23483229e+00 39.728893 Lin-Lin
 1.23917997e+00 37.629475 Lin-Lin
 1.24352765e+00 35.696323 Lin-Lin
 1.24787521e+00 33.922886 Lin-Lin
 1.25225353e+00 32.292473 Lin-Lin
 1.25666261e+00 30.803646 Lin-Lin
 1.26107156e+00 29.465103 Lin-Lin
 1.26548052e+00 28.275042 Lin-Lin
 1.26997900e+00 27.212988 Lin-Lin
 1.27456689e+00 26.287195 Lin-Lin
 1.27966058e+00 25.442392 Lin-Lin
 1.28386009e+00 24.885088 Lin-Lin
 1.28805971e+00 24.444490 Lin-Lin
 1.29309928e+00 24.051151 Lin-Lin
 1.29925859e+00 23.727659 Lin-Lin
 1.31885672e+00 23.092695 Lin-Lin
 1.32837582e+00 22.638462 Lin-Lin
 1.33957481e+00 21.902241 Lin-Lin
 1.36197257e+00 20.249060 Lin-Lin
 1.37317157e+00 19.527405 Lin-Lin
 1.38437045e+00 18.913179 Lin-Lin
 1.39556944e+00 18.396469 Lin-Lin
 1.41236782e+00 17.768566 Lin-Lin
 1.42776632e+00 17.310814 Lin-Lin
 1.44770610e+00 16.838102 Lin-Lin
 1.46813071e+00 16.453777 Lin-Lin
 1.49927223e+00 15.997636 Lin-Lin
 1.53114951e+00 15.635150 Lin-Lin
 1.57465780e+00 15.242298 Lin-Lin
 1.64224923e+00 14.761949 Lin-Lin
 1.72473919e+00 14.293461 Lin-Lin
 1.79877281e+00 13.964686 Lin-Lin
 1.84988570e+00 13.824826 Lin-Lin
 1.87367737e+00 13.811497 Lin-Lin
 1.89350295e+00 13.849470 Lin-Lin
 1.91351509e+00 13.968431 Lin-Lin
 1.92691875e+00 14.127558 Lin-Lin
 1.93864036e+00 14.356839 Lin-Lin
 1.94826460e+00 14.646120 Lin-Lin
 1.95548272e+00 14.953422 Lin-Lin
 1.96270084e+00 15.371058 Lin-Lin
 1.96751285e+00 15.729968 Lin-Lin
 1.97232497e+00 16.169046 Lin-Lin
 1.97713709e+00 16.702637 Lin-Lin
 1.98194909e+00 17.344149 Lin-Lin
 1.98676121e+00 18.103685 Lin-Lin
 1.99157333e+00 18.984932 Lin-Lin
 1.99638534e+00 19.981602 Lin-Lin
 2.00360346e+00 21.645929 Lin-Lin
 2.01322770e+00 23.954966 Lin-Lin
 2.01767874e+00 24.933807 Lin-Lin
 2.02176905e+00 25.714706 Lin-Lin
 2.02501726e+00 26.224058 Lin-Lin
 2.02862620e+00 26.649830 Lin-Lin
 2.03223538e+00 26.908396 Lin-Lin
 2.03567600e+00 26.987261 Lin-Lin
 2.03915262e+00 26.896645 Lin-Lin
 2.04258132e+00 26.643246 Lin-Lin
 2.04679179e+00 26.125484 Lin-Lin
 2.05040097e+00 25.523407 Lin-Lin
 2.05461144e+00 24.673286 Lin-Lin
 2.05942369e+00 23.565153 Lin-Lin
 2.07145381e+00 20.601948 Lin-Lin
 2.07626581e+00 19.488802 Lin-Lin
 2.08107805e+00 18.472679 Lin-Lin
 2.08589005e+00 17.570309 Lin-Lin
 2.09070206e+00 16.786198 Lin-Lin
 2.09551430e+00 16.115896 Lin-Lin
 2.10032630e+00 15.549295 Lin-Lin
 2.10513830e+00 15.073454 Lin-Lin
