#LIBRARY    ENDF/B-VIII.1
#REACTION   AM-241(N,TOT),SIG
#NUCLEUS    Am-241
#MF         3
#MT         1
#EN-MIN     1e-05
#EN-MAX     3e+07
#E,eV        Sig,b        Interpolation
 1.81196705e-02 847.501221 Lin-Lin
 1.82465930e-02 843.906250 Lin-Lin
 1.97086129e-02 807.828979 Lin-Lin
 1.99866667e-02 800.972412 Lin-Lin
 2.14368924e-02 769.840881 Lin-Lin
 2.18916070e-02 760.086609 Lin-Lin
 2.33167280e-02 733.499207 Lin-Lin
 2.39792839e-02 721.147095 Lin-Lin
 2.52418797e-02 700.057251 Lin-Lin
 2.52999999e-02 699.126404 Lin-Lin
 2.73271780e-02 668.961670 Lin-Lin
 2.77127158e-02 663.228577 Lin-Lin
 2.95153372e-02 639.988708 Lin-Lin
 3.03540286e-02 629.183411 Lin-Lin
 3.18802744e-02 612.159912 Lin-Lin
 3.32487188e-02 596.907104 Lin-Lin
 3.44330110e-02 585.507629 Lin-Lin
 3.64176705e-02 566.417786 Lin-Lin
 3.71919759e-02 559.998413 Lin-Lin
 3.98906171e-02 537.641846 Lin-Lin
 4.01700363e-02 535.639160 Lin-Lin
 4.33886871e-02 512.587463 Lin-Lin
 4.68629338e-02 491.031433 Lin-Lin
 4.71935086e-02 488.981781 Lin-Lin
 5.06178550e-02 470.643127 Lin-Lin
 5.13319820e-02 466.821442 Lin-Lin
 5.46709634e-02 451.449768 Lin-Lin
 5.58333658e-02 446.102295 Lin-Lin
 5.78221045e-02 438.259583 Lin-Lin
 5.90515062e-02 433.413513 Lin-Lin
 6.07294813e-02 426.804291 Lin-Lin
 6.37799203e-02 416.588135 Lin-Lin
 6.60549477e-02 408.974976 Lin-Lin
 6.88903257e-02 400.990753 Lin-Lin
 7.18474090e-02 392.670868 Lin-Lin
 7.44065568e-02 386.696228 Lin-Lin
 7.81478211e-02 377.969910 Lin-Lin
 8.03684294e-02 373.750641 Lin-Lin
 8.50007236e-02 364.958069 Lin-Lin
 8.68037418e-02 362.217743 Lin-Lin
 9.18069631e-02 354.622192 Lin-Lin
 9.31021944e-02 353.100555 Lin-Lin
 9.91630480e-02 345.989716 Lin-Lin
 9.98576581e-02 345.403198 Lin-Lin
 1.07103296e-01 339.295898 Lin-Lin
 1.11700654e-01 336.845428 Lin-Lin
 1.14874683e-01 335.157379 Lin-Lin
 1.19173944e-01 334.177155 Lin-Lin
