#LIBRARY    ENDF/B-VIII.1
#REACTION   U-235(N,G)U-236,SIG
#NUCLEUS    U-235
#MF         3
#MT         102
#EN-MIN     1e-05
#EN-MAX     3e+07
#E,eV        Sig,b        Interpolation
 4.02659953e-01 19.662220 Lin-Lin
 4.11201060e-01 18.622328 Lin-Lin
 4.19943929e-01 17.674770 Lin-Lin
 4.28851664e-01 16.814941 Lin-Lin
 4.37969834e-01 16.030455 Lin-Lin
 4.47259903e-01 15.316631 Lin-Lin
 4.56769466e-01 14.662469 Lin-Lin
 4.69748795e-01 13.875818 Lin-Lin
 4.83096898e-01 13.173392 Lin-Lin
 4.96824324e-01 12.543426 Lin-Lin
 5.10941803e-01 11.975784 Lin-Lin
 5.25460422e-01 11.462501 Lin-Lin
 5.44176877e-01 10.887561 Lin-Lin
 5.63587666e-01 10.375347 Lin-Lin
 5.83662212e-01 9.918895 Lin-Lin
 6.04481459e-01 9.510301 Lin-Lin
 6.26012564e-01 9.146111 Lin-Lin
 6.48342431e-01 8.821901 Lin-Lin
 6.76172197e-01 8.483643 Lin-Lin
 7.00256884e-01 8.243220 Lin-Lin
 7.25235045e-01 8.041433 Lin-Lin
 7.51067340e-01 7.882107 Lin-Lin
 7.77857900e-01 7.770606 Lin-Lin
 7.99961090e-01 7.722308 Lin-Lin
 8.13237786e-01 7.714051 Lin-Lin
 8.34090710e-01 7.736057 Lin-Lin
 8.51783216e-01 7.792732 Lin-Lin
 8.69893670e-01 7.893035 Lin-Lin
 8.88345599e-01 8.047623 Lin-Lin
 9.00878608e-01 8.188627 Lin-Lin
 9.13588345e-01 8.366812 Lin-Lin
 9.26477432e-01 8.589931 Lin-Lin
 9.39548373e-01 8.868096 Lin-Lin
 9.52803731e-01 9.214339 Lin-Lin
 9.62885499e-01 9.529224 Lin-Lin
 9.73062038e-01 9.900532 Lin-Lin
 9.83334124e-01 10.339264 Lin-Lin
 9.93702352e-01 10.858894 Lin-Lin
 1.00071204e+00 11.260919 Lin-Lin
 1.00772166e+00 11.709686 Lin-Lin
 1.01483023e+00 12.218420 Lin-Lin
 1.02193880e+00 12.787764 Lin-Lin
 1.02914774e+00 13.434432 Lin-Lin
 1.03635657e+00 14.158872 Lin-Lin
 1.04366708e+00 14.981533 Lin-Lin
 1.05097771e+00 15.901394 Lin-Lin
 1.05839145e+00 16.941465 Lin-Lin
 1.06580508e+00 18.095484 Lin-Lin
 1.07332337e+00 19.384361 Lin-Lin
 1.08084166e+00 20.788458 Lin-Lin
 1.08846605e+00 22.315990 Lin-Lin
 1.11155427e+00 27.210587 Lin-Lin
 1.11862814e+00 28.605080 Lin-Lin
 1.12567747e+00 29.829592 Lin-Lin
 1.13230407e+00 30.765171 Lin-Lin
 1.13829470e+00 31.383848 Lin-Lin
 1.14428520e+00 31.752872 Lin-Lin
 1.14959359e+00 31.853945 Lin-Lin
 1.15364826e+00 31.783957 Lin-Lin
 1.15973020e+00 31.442841 Lin-Lin
 1.16581225e+00 30.833960 Lin-Lin
 1.17198002e+00 29.973444 Lin-Lin
 1.17814791e+00 28.909241 Lin-Lin
 1.18642962e+00 27.242785 Lin-Lin
 1.19893932e+00 24.445007 Lin-Lin
 1.21162546e+00 21.565905 Lin-Lin
 1.22014105e+00 19.730947 Lin-Lin
 1.22871482e+00 18.012623 Lin-Lin
 1.23517609e+00 16.816101 Lin-Lin
 1.24169934e+00 15.697811 Lin-Lin
 1.24822259e+00 14.669520 Lin-Lin
 1.25555384e+00 13.618259 Lin-Lin
 1.26280320e+00 12.682115 Lin-Lin
 1.26844037e+00 12.020940 Lin-Lin
 1.27407742e+00 11.414394 Lin-Lin
 1.28081799e+00 10.755736 Lin-Lin
 1.28755867e+00 10.163654 Lin-Lin
 1.29433095e+00 9.629490 Lin-Lin
 1.30116665e+00 9.145724 Lin-Lin
 1.30800235e+00 8.711547 Lin-Lin
 1.31490231e+00 8.317793 Lin-Lin
 1.31952381e+00 8.076403 Lin-Lin
 1.32876658e+00 7.640875 Lin-Lin
 1.33813989e+00 7.254901 Lin-Lin
 1.34751308e+00 6.916063 Lin-Lin
 1.35701859e+00 6.612955 Lin-Lin
 1.36652410e+00 6.344309 Lin-Lin
 1.37616372e+00 6.101736 Lin-Lin
 1.39069104e+00 5.783470 Lin-Lin
 1.40535450e+00 5.509445 Lin-Lin
 1.42022479e+00 5.270636 Lin-Lin
 1.43523490e+00 5.062152 Lin-Lin
 1.45038581e+00 4.879097 Lin-Lin
 1.46567869e+00 4.717607 Lin-Lin
 1.48635674e+00 4.530009 Lin-Lin
 1.50732660e+00 4.369491 Lin-Lin
 1.52859223e+00 4.231864 Lin-Lin
 1.55015790e+00 4.114024 Lin-Lin
 1.57202792e+00 4.013733 Lin-Lin
 1.59420633e+00 3.929502 Lin-Lin
 1.61669779e+00 3.860499 Lin-Lin
 1.63950646e+00 3.806549 Lin-Lin
 1.66263688e+00 3.768215 Lin-Lin
 1.69237542e+00 3.744473 Lin-Lin
 1.69865716e+00 3.743442 Lin-Lin
 1.72262216e+00 3.753940 Lin-Lin
 1.74084949e+00 3.779388 Lin-Lin
 1.75924826e+00 3.823671 Lin-Lin
 1.77781963e+00 3.891780 Lin-Lin
 1.79656494e+00 3.990999 Lin-Lin
 1.80923808e+00 4.080223 Lin-Lin
 1.82191122e+00 4.192082 Lin-Lin
 1.83476317e+00 4.334456 Lin-Lin
 1.84440207e+00 4.465083 Lin-Lin
 1.85399210e+00 4.620216 Lin-Lin
 1.86355746e+00 4.805755 Lin-Lin
 1.87312293e+00 5.029658 Lin-Lin
 1.88094783e+00 5.248330 Lin-Lin
 1.88877273e+00 5.506691 Lin-Lin
 1.89398932e+00 5.705555 Lin-Lin
 1.90094471e+00 6.010799 Lin-Lin
 1.90558171e+00 6.244401 Lin-Lin
 1.91021872e+00 6.506495 Lin-Lin
 1.91514540e+00 6.821389 Lin-Lin
 1.92036200e+00 7.203121 Lin-Lin
 1.92427444e+00 7.527818 Lin-Lin
 1.92818689e+00 7.890996 Lin-Lin
 1.93209934e+00 8.298668 Lin-Lin
 1.93597960e+00 8.753956 Lin-Lin
 1.93984389e+00 9.265980 Lin-Lin
 1.94370806e+00 9.846085 Lin-Lin
 1.94757235e+00 10.505479 Lin-Lin
 1.95014846e+00 10.995471 Lin-Lin
 1.95272458e+00 11.530766 Lin-Lin
 1.95621836e+00 12.337579 Lin-Lin
 1.95952702e+00 13.197999 Lin-Lin
 1.96283555e+00 14.164087 Lin-Lin
 1.96614420e+00 15.248130 Lin-Lin
 1.96945274e+00 16.462578 Lin-Lin
 1.97165847e+00 17.350639 Lin-Lin
 1.97464979e+00 18.662006 Lin-Lin
 1.97764099e+00 20.102964 Lin-Lin
 1.98063231e+00 21.678692 Lin-Lin
 1.98362362e+00 23.391680 Lin-Lin
 1.98642850e+00 25.121792 Lin-Lin
 1.98923349e+00 26.967422 Lin-Lin
 1.99344087e+00 29.933167 Lin-Lin
 1.99875569e+00 33.947220 Lin-Lin
 2.00875425e+00 41.748077 Lin-Lin
 2.01223183e+00 44.311840 Lin-Lin
 2.01570964e+00 46.674309 Lin-Lin
 2.01918745e+00 48.756310 Lin-Lin
 2.02185440e+00 50.116039 Lin-Lin
 2.02452159e+00 51.236511 Lin-Lin
 2.02718878e+00 52.092083 Lin-Lin
 2.02985597e+00 52.662708 Lin-Lin
 2.03265619e+00 52.940456 Lin-Lin
 2.03357601e+00 52.958431 Lin-Lin
 2.03635764e+00 52.791668 Lin-Lin
 2.03965473e+00 52.170494 Lin-Lin
 2.04295182e+00 51.112179 Lin-Lin
 2.04566407e+00 49.940205 Lin-Lin
 2.04837632e+00 48.525482 Lin-Lin
 2.05199289e+00 46.317657 Lin-Lin
 2.05560923e+00 43.820152 Lin-Lin
 2.06046653e+00 40.164570 Lin-Lin
 2.07106328e+00 31.895128 Lin-Lin
 2.07541060e+00 28.686972 Lin-Lin
 2.07830858e+00 26.669279 Lin-Lin
 2.08120680e+00 24.765078 Lin-Lin
 2.08410478e+00 22.983067 Lin-Lin
 2.08700299e+00 21.327625 Lin-Lin
 2.08990097e+00 19.799488 Lin-Lin
 2.09279919e+00 18.396431 Lin-Lin
 2.09562492e+00 17.144588 Lin-Lin
 2.09845042e+00 16.001677 Lin-Lin
 2.10127616e+00 14.960986 Lin-Lin
 2.10410166e+00 14.015222 Lin-Lin
 2.10692739e+00 13.156833 Lin-Lin
 2.10917354e+00 12.531841 Lin-Lin
 2.11178184e+00 11.864472 Lin-Lin
 2.11439013e+00 11.254607 Lin-Lin
 2.11699843e+00 10.697007 Lin-Lin
 2.11960649e+00 10.186790 Lin-Lin
 2.12221479e+00 9.719448 Lin-Lin
 2.12612724e+00 9.089895 Lin-Lin
 2.12989497e+00 8.554568 Lin-Lin
 2.13337255e+00 8.113797 Lin-Lin
 2.13685036e+00 7.717616 Lin-Lin
 2.14032817e+00 7.360449 Lin-Lin
 2.14496493e+00 6.936712 Lin-Lin
 2.14989185e+00 6.542520 Lin-Lin
 2.15510845e+00 6.177895 Lin-Lin
 2.16032505e+00 5.858730 Lin-Lin
 2.16554165e+00 5.577768 Lin-Lin
 2.17059350e+00 5.336533 Lin-Lin
 2.17548060e+00 5.127877 Lin-Lin
 2.18281126e+00 4.853351 Lin-Lin
 2.19018173e+00 4.616042 Lin-Lin
 2.19763136e+00 4.408469 Lin-Lin
 2.20508075e+00 4.227705 Lin-Lin
 2.21145701e+00 4.090859 Lin-Lin
 2.21924329e+00 3.942628 Lin-Lin
 2.22702956e+00 3.812003 Lin-Lin
 2.23870873e+00 3.643269 Lin-Lin
 2.25055289e+00 3.499170 Lin-Lin
 2.26239681e+00 3.376792 Lin-Lin
 2.27029300e+00 3.305177 Lin-Lin
 2.28630781e+00 3.179953 Lin-Lin
 2.30232263e+00 3.076478 Lin-Lin
 2.32383633e+00 2.963807 Lin-Lin
 2.34548330e+00 2.873845 Lin-Lin
 2.36719680e+00 2.801771 Lin-Lin
 2.38891029e+00 2.744154 Lin-Lin
 2.41418791e+00 2.691906 Lin-Lin
 2.43970299e+00 2.652783 Lin-Lin
 2.47412276e+00 2.618963 Lin-Lin
 2.50387478e+00 2.606384 Lin-Lin
 2.51629639e+00 2.605851 Lin-Lin
 2.54292154e+00 2.615101 Lin-Lin
 2.56979728e+00 2.641494 Lin-Lin
 2.58779788e+00 2.671441 Lin-Lin
 2.60605264e+00 2.715036 Lin-Lin
 2.62430716e+00 2.776188 Lin-Lin
 2.63819122e+00 2.838145 Lin-Lin
 2.65207529e+00 2.917265 Lin-Lin
 2.66602468e+00 3.018096 Lin-Lin
 2.68010473e+00 3.145399 Lin-Lin
 2.69418478e+00 3.299995 Lin-Lin
 2.71325970e+00 3.544835 Lin-Lin
 2.73162198e+00 3.786490 Lin-Lin
 2.74356437e+00 3.919569 Lin-Lin
 2.75364065e+00 4.002131 Lin-Lin
 2.76081562e+00 4.039826 Lin-Lin
 2.77036548e+00 4.060468 Lin-Lin
 2.77155304e+00 4.060694 Lin-Lin
 2.77749085e+00 4.054482 Lin-Lin
 2.78699136e+00 4.021801 Lin-Lin
 2.79753280e+00 3.960943 Lin-Lin
 2.82697463e+00 3.752994 Lin-Lin
 2.83831477e+00 3.690592 Lin-Lin
 2.84838176e+00 3.652066 Lin-Lin
 2.85844874e+00 3.631119 Lin-Lin
 2.86516023e+00 3.627137 Lin-Lin
 2.87550569e+00 3.636507 Lin-Lin
 2.88585114e+00 3.664335 Lin-Lin
 2.89652824e+00 3.712085 Lin-Lin
 2.90786839e+00 3.783989 Lin-Lin
 2.91920877e+00 3.878362 Lin-Lin
 2.93024516e+00 3.993128 Lin-Lin
 2.94112968e+00 4.130538 Lin-Lin
 2.95201421e+00 4.294915 Lin-Lin
 2.96287084e+00 4.489620 Lin-Lin
 2.97372770e+00 4.720076 Lin-Lin
 2.98096561e+00 4.896690 Lin-Lin
 2.98820329e+00 5.094333 Lin-Lin
 2.99544120e+00 5.315689 Lin-Lin
 3.00267911e+00 5.563859 Lin-Lin
 3.00991678e+00 5.842398 Lin-Lin
 3.01715469e+00 6.155350 Lin-Lin
 3.02439260e+00 6.507245 Lin-Lin
 3.03163028e+00 6.903075 Lin-Lin
 3.03886819e+00 7.348189 Lin-Lin
 3.04465842e+00 7.743465 Lin-Lin
 3.05044866e+00 8.176562 Lin-Lin
 3.05623913e+00 8.649996 Lin-Lin
 3.06202936e+00 9.165819 Lin-Lin
 3.06885862e+00 9.830409 Lin-Lin
 3.07568789e+00 10.555902 Lin-Lin
 3.08375454e+00 11.487190 Lin-Lin
 3.09429598e+00 12.805023 Lin-Lin
 3.11414170e+00 15.396088 Lin-Lin
 3.12282705e+00 16.445385 Lin-Lin
 3.12861753e+00 17.067945 Lin-Lin
 3.13433361e+00 17.598789 Lin-Lin
 3.13977981e+00 18.010431 Lin-Lin
 3.14523625e+00 18.317022 Lin-Lin
 3.15069270e+00 18.507456 Lin-Lin
 3.15622878e+00 18.575500 Lin-Lin
 3.16184378e+00 18.513783 Lin-Lin
 3.16745877e+00 18.323452 Lin-Lin
 3.17307377e+00 18.012396 Lin-Lin
 3.17868876e+00 17.592741 Lin-Lin
 3.18447161e+00 17.063354 Lin-Lin
 3.19025445e+00 16.454523 Lin-Lin
 3.19796491e+00 15.554622 Lin-Lin
 3.21944928e+00 12.877392 Lin-Lin
 3.22936797e+00 11.714121 Lin-Lin
 3.23598027e+00 10.998435 Lin-Lin
 3.24221873e+00 10.374333 Lin-Lin
 3.24845719e+00 9.802424 Lin-Lin
 3.25469565e+00 9.283065 Lin-Lin
 3.26093411e+00 8.815052 Lin-Lin
 3.26754808e+00 8.372422 Lin-Lin
 3.27416182e+00 7.981487 Lin-Lin
 3.28077579e+00 7.638384 Lin-Lin
 3.28738952e+00 7.339174 Lin-Lin
 3.29343772e+00 7.100735 Lin-Lin
 3.29948592e+00 6.893091 Lin-Lin
 3.30855823e+00 6.633985 Lin-Lin
 3.31768250e+00 6.430298 Lin-Lin
 3.32683277e+00 6.277247 Lin-Lin
 3.33598328e+00 6.170683 Lin-Lin
 3.34495115e+00 6.107899 Lin-Lin
 3.35391927e+00 6.084028 Lin-Lin
 3.36261415e+00 6.096791 Lin-Lin
 3.37130928e+00 6.144548 Lin-Lin
 3.38019013e+00 6.229960 Lin-Lin
 3.38944268e+00 6.359890 Lin-Lin
 3.39869523e+00 6.534384 Lin-Lin
 3.40794802e+00 6.757590 Lin-Lin
 3.41720057e+00 7.035238 Lin-Lin
 3.42336893e+00 7.254264 Lin-Lin
 3.42948270e+00 7.501307 Lin-Lin
 3.43554187e+00 7.778800 Lin-Lin
 3.44160080e+00 8.092601 Lin-Lin
 3.44765997e+00 8.447198 Lin-Lin
 3.45371366e+00 8.847521 Lin-Lin
 3.45976186e+00 9.299711 Lin-Lin
 3.46580982e+00 9.811515 Lin-Lin
 3.47185802e+00 10.391687 Lin-Lin
 3.47790623e+00 11.050556 Lin-Lin
 3.48244238e+00 11.603579 Lin-Lin
 3.48697853e+00 12.213511 Lin-Lin
 3.49151444e+00 12.886905 Lin-Lin
 3.49605060e+00 13.631023 Lin-Lin
 3.50134277e+00 14.599253 Lin-Lin
 3.50587893e+00 15.524942 Lin-Lin
 3.51041508e+00 16.548914 Lin-Lin
 3.51495099e+00 17.680950 Lin-Lin
 3.51948714e+00 18.930984 Lin-Lin
 3.52402329e+00 20.308718 Lin-Lin
 3.52855945e+00 21.823101 Lin-Lin
 3.53309560e+00 23.481684 Lin-Lin
 3.53763175e+00 25.289820 Lin-Lin
 3.54216766e+00 27.249737 Lin-Lin
 3.54670382e+00 29.359520 Lin-Lin
 3.55123997e+00 31.612049 Lin-Lin
 3.55772662e+00 35.053242 Lin-Lin
 3.56616402e+00 39.812813 Lin-Lin
 3.57886434e+00 47.084984 Lin-Lin
 3.58451867e+00 50.114582 Lin-Lin
 3.59017301e+00 52.855579 Lin-Lin
 3.59437633e+00 54.637413 Lin-Lin
 3.59850478e+00 56.126720 Lin-Lin
 3.60263300e+00 57.319706 Lin-Lin
 3.60584569e+00 58.022743 Lin-Lin
 3.61031055e+00 58.649250 Lin-Lin
 3.61462569e+00 58.850845 Lin-Lin
 3.61879468e+00 58.662437 Lin-Lin
 3.62234735e+00 58.208195 Lin-Lin
 3.62644863e+00 57.360100 Lin-Lin
 3.63095355e+00 56.054501 Lin-Lin
 3.63511610e+00 54.533916 Lin-Lin
 3.64066601e+00 52.105576 Lin-Lin
 3.64621568e+00 49.314350 Lin-Lin
 3.65397072e+00 45.013809 Lin-Lin
 3.66940594e+00 36.086197 Lin-Lin
 3.67602110e+00 32.456299 Lin-Lin
 3.68043137e+00 30.172358 Lin-Lin
 3.68484139e+00 28.016390 Lin-Lin
 3.68928051e+00 25.985359 Lin-Lin
 3.69374824e+00 24.086700 Lin-Lin
 3.69821620e+00 22.334436 Lin-Lin
 3.70268416e+00 20.725401 Lin-Lin
 3.70709419e+00 19.272001 Lin-Lin
 3.71144652e+00 17.961832 Lin-Lin
 3.71579885e+00 16.766941 Lin-Lin
 3.72015119e+00 15.678755 Lin-Lin
 3.72453237e+00 14.682275 Lin-Lin
 3.72894239e+00 13.770622 Lin-Lin
 3.73335266e+00 12.942123 Lin-Lin
 3.73776269e+00 12.188720 Lin-Lin
 3.74283433e+00 11.405478 Lin-Lin
 3.74713421e+00 10.803791 Lin-Lin
 3.75143409e+00 10.253293 Lin-Lin
 3.75716710e+00 9.590144 Lin-Lin
 3.76290035e+00 8.998229 Lin-Lin
 3.76951551e+00 8.391754 Lin-Lin
 3.77613068e+00 7.855784 Lin-Lin
