#LIBRARY    ENDF/B-VIII.1
#REACTION   AM-241(N,G)AM-242,SIG
#NUCLEUS    Am-241
#MF         3
#MT         102
#EN-MIN     1e-05
#EN-MAX     3e+07
#E,eV        Sig,b        Interpolation
 2.48329997e-01 1087.443726 Lin-Lin
 2.50951469e-01 1167.227905 Lin-Lin
 2.52715498e-01 1226.528198 Lin-Lin
 2.54491955e-01 1291.359131 Lin-Lin
 2.56280869e-01 1362.368652 Lin-Lin
 2.58082390e-01 1440.293091 Lin-Lin
 2.59896517e-01 1525.950928 Lin-Lin
 2.61723459e-01 1620.263550 Lin-Lin
 2.63563186e-01 1724.241577 Lin-Lin
 2.65415907e-01 1839.001343 Lin-Lin
 2.67281592e-01 1965.733643 Lin-Lin
 2.69160450e-01 2105.704102 Lin-Lin
 2.71052450e-01 2260.187012 Lin-Lin
 2.72957802e-01 2430.429443 Lin-Lin
 2.74876505e-01 2617.524170 Lin-Lin
 2.76808769e-01 2822.309814 Lin-Lin
 2.78754532e-01 3045.158936 Lin-Lin
 2.80714035e-01 3285.799072 Lin-Lin
 2.83673853e-01 3676.441406 Lin-Lin
 2.90719926e-01 4667.265137 Lin-Lin
 2.92763531e-01 4940.578125 Lin-Lin
 2.94821471e-01 5192.723633 Lin-Lin
 2.96893924e-01 5412.901855 Lin-Lin
 2.98459142e-01 5550.660645 Lin-Lin
 3.00024360e-01 5659.607422 Lin-Lin
 3.01611662e-01 5737.445801 Lin-Lin
 3.03198963e-01 5780.033691 Lin-Lin
 3.04257154e-01 5788.129395 Lin-Lin
 3.05782139e-01 5770.939453 Lin-Lin
 3.07314277e-01 5719.833984 Lin-Lin
 3.08940142e-01 5630.099609 Lin-Lin
 3.10566008e-01 5506.527344 Lin-Lin
 3.12199533e-01 5352.009277 Lin-Lin
 3.13848317e-01 5169.690430 Lin-Lin
 3.16046745e-01 4894.110840 Lin-Lin
 3.19390893e-01 4429.400391 Lin-Lin
 3.25027347e-01 3619.385986 Lin-Lin
 3.27320129e-01 3307.304199 Lin-Lin
 3.29612911e-01 3014.302979 Lin-Lin
 3.31356734e-01 2806.198975 Lin-Lin
 3.33100587e-01 2611.627930 Lin-Lin
 3.34852636e-01 2429.970947 Lin-Lin
 3.36621076e-01 2260.496582 Lin-Lin
 3.38389516e-01 2104.511475 Lin-Lin
 3.40174586e-01 1960.071655 Lin-Lin
 3.41967970e-01 1827.316772 Lin-Lin
 3.43761384e-01 1706.067505 Lin-Lin
 3.45580071e-01 1593.929688 Lin-Lin
 3.47398758e-01 1491.763184 Lin-Lin
 3.49226028e-01 1398.255859 Lin-Lin
 3.51070374e-01 1312.296143 Lin-Lin
 3.52914721e-01 1233.986694 Lin-Lin
 3.54776412e-01 1161.939941 Lin-Lin
 3.56646806e-01 1095.937134 Lin-Lin
 3.58517170e-01 1035.691406 Lin-Lin
 3.60413939e-01 979.886719 Lin-Lin
 3.62310708e-01 928.877808 Lin-Lin
 3.63575220e-01 897.298340 Lin-Lin
 3.66139889e-01 838.620483 Lin-Lin
 3.68704587e-01 786.362915 Lin-Lin
 3.71305466e-01 739.090271 Lin-Lin
 3.73906344e-01 696.859558 Lin-Lin
 3.76543939e-01 658.548828 Lin-Lin
 3.79181504e-01 624.238586 Lin-Lin
 3.81856292e-01 593.047913 Lin-Lin
 3.84531081e-01 565.068665 Lin-Lin
 3.87243599e-01 539.605469 Lin-Lin
 3.89956117e-01 516.752991 Lin-Lin
 3.92706901e-01 495.960266 Lin-Lin
 3.95457685e-01 477.319061 Lin-Lin
 3.99642080e-01 452.615509 Lin-Lin
 4.03865844e-01 431.595856 Lin-Lin
 4.08129215e-01 413.847107 Lin-Lin
 4.12432522e-01 399.038086 Lin-Lin
 4.16796535e-01 386.855927 Lin-Lin
 4.21201587e-01 377.172180 Lin-Lin
 4.25647974e-01 369.836853 Lin-Lin
 4.30135995e-01 364.749481 Lin-Lin
 4.34687346e-01 361.848206 Lin-Lin
 4.38899517e-01 361.128235 Lin-Lin
 4.43543583e-01 362.503082 Lin-Lin
 4.48231310e-01 366.225800 Lin-Lin
 4.52963054e-01 372.448090 Lin-Lin
 4.57739055e-01 381.390991 Lin-Lin
 4.62582469e-01 393.423096 Lin-Lin
 4.67471421e-01 408.924072 Lin-Lin
 4.70745921e-01 421.407990 Lin-Lin
 4.74066615e-01 435.987122 Lin-Lin
 4.77387309e-01 452.708588 Lin-Lin
 4.80754852e-01 472.113220 Lin-Lin
 4.84122366e-01 494.296967 Lin-Lin
 4.87537414e-01 520.022278 Lin-Lin
 4.90952462e-01 549.475525 Lin-Lin
 4.93549883e-01 574.726196 Lin-Lin
 4.96147305e-01 602.769226 Lin-Lin
 4.98756945e-01 634.111511 Lin-Lin
 5.01390994e-01 669.390198 Lin-Lin
 5.04025102e-01 708.829041 Lin-Lin
 5.06683946e-01 753.457031 Lin-Lin
 5.09355128e-01 803.883911 Lin-Lin
 5.12026370e-01 860.763916 Lin-Lin
 5.13832331e-01 903.373962 Lin-Lin
 5.15638292e-01 949.740356 Lin-Lin
 5.17444193e-01 1000.255615 Lin-Lin
 5.19250154e-01 1055.354004 Lin-Lin
 5.21081567e-01 1116.401978 Lin-Lin
 5.22912979e-01 1183.202881 Lin-Lin
 5.24744391e-01 1256.351318 Lin-Lin
 5.26575804e-01 1336.485962 Lin-Lin
 5.28433084e-01 1425.579224 Lin-Lin
 5.30290365e-01 1523.283569 Lin-Lin
 5.32147586e-01 1630.338135 Lin-Lin
 5.34004867e-01 1747.461914 Lin-Lin
 5.35791397e-01 1870.244385 Lin-Lin
 5.37577927e-01 2003.456543 Lin-Lin
 5.39364457e-01 2147.461182 Lin-Lin
 5.41150987e-01 2302.428711 Lin-Lin
 5.43059647e-01 2480.002930 Lin-Lin
 5.44968307e-01 2669.481445 Lin-Lin
 5.47831297e-01 2973.640137 Lin-Lin
 5.51437438e-01 3381.844727 Lin-Lin
 5.56815624e-01 3999.948730 Lin-Lin
 5.59691250e-01 4306.158203 Lin-Lin
 5.61608374e-01 4489.709473 Lin-Lin
 5.63525498e-01 4650.754883 Lin-Lin
 5.65352976e-01 4778.895508 Lin-Lin
 5.67180455e-01 4878.537598 Lin-Lin
 5.69007993e-01 4946.730957 Lin-Lin
 5.70835471e-01 4981.406738 Lin-Lin
 5.71772158e-01 4985.798340 Lin-Lin
 5.73717237e-01 4965.768555 Lin-Lin
 5.75633109e-01 4908.267578 Lin-Lin
 5.77607870e-01 4811.801758 Lin-Lin
 5.79641521e-01 4676.485352 Lin-Lin
 5.81675172e-01 4509.391113 Lin-Lin
 5.83708823e-01 4316.102051 Lin-Lin
 5.86788058e-01 3987.090820 Lin-Lin
 5.94905615e-01 3048.010986 Lin-Lin
 5.97801328e-01 2729.528076 Lin-Lin
 5.99731863e-01 2529.541748 Lin-Lin
 6.01756454e-01 2332.222656 Lin-Lin
 6.03875160e-01 2140.304443 Lin-Lin
 6.05993807e-01 1963.666870 Lin-Lin
 6.08112514e-01 1802.171021 Lin-Lin
 6.09709024e-01 1690.172363 Lin-Lin
 6.11320436e-01 1585.204712 Lin-Lin
 6.12931848e-01 1487.949951 Lin-Lin
 6.14543319e-01 1397.963135 Lin-Lin
 6.16154730e-01 1314.778198 Lin-Lin
 6.17766201e-01 1237.923340 Lin-Lin
 6.19811356e-01 1148.767334 Lin-Lin
 6.21856511e-01 1068.139404 Lin-Lin
 6.23901665e-01 995.176453 Lin-Lin
 6.25946820e-01 929.081604 Lin-Lin
 6.28154576e-01 864.605652 Lin-Lin
 6.30362332e-01 806.466125 Lin-Lin
 6.32570028e-01 753.933655 Lin-Lin
 6.34777784e-01 706.364868 Lin-Lin
 6.37016714e-01 662.614014 Lin-Lin
 6.39255583e-01 622.869934 Lin-Lin
 6.41494453e-01 586.681335 Lin-Lin
