#LIBRARY    ENDF/B-VIII.1
#REACTION   GD-155(N,TOT),SIG
#NUCLEUS    Gd-155
#MF         3
#MT         1
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 9.92031954e-03 88955.273438 Lin-Lin
 1.02022095e-02 88031.007812 Lin-Lin
 1.10968575e-02 85097.617188 Lin-Lin
 1.14921182e-02 84001.304688 Lin-Lin
 1.24129318e-02 81447.304688 Lin-Lin
 1.29457507e-02 80197.273438 Lin-Lin
 1.39823509e-02 77765.343750 Lin-Lin
 1.43796662e-02 76974.648438 Lin-Lin
 1.45825371e-02 76570.890625 Lin-Lin
 1.57509726e-02 74245.484375 Lin-Lin
 1.65421423e-02 72900.367188 Lin-Lin
 1.78675912e-02 70646.875000 Lin-Lin
 1.86345503e-02 69521.835938 Lin-Lin
 1.88974496e-02 69136.164062 Lin-Lin
 2.04106178e-02 66916.351562 Lin-Lin
 2.18916070e-02 65011.867188 Lin-Lin
 2.25136653e-02 64211.929688 Lin-Lin
 2.36456841e-02 62756.082031 Lin-Lin
 2.52418797e-02 60862.359375 Lin-Lin
 2.52999999e-02 60794.921875 Lin-Lin
 2.88090985e-02 56912.710938 Lin-Lin
 2.97235418e-02 55900.910156 Lin-Lin
 2.98352558e-02 55777.300781 Lin-Lin
 3.22258249e-02 53320.710938 Lin-Lin
 3.46759036e-02 50802.625000 Lin-Lin
 3.57952639e-02 49652.195312 Lin-Lin
 3.60477678e-02 49407.585938 Lin-Lin
 3.93356606e-02 46222.250000 Lin-Lin
 3.96627150e-02 45905.398438 Lin-Lin
 4.20538373e-02 43588.558594 Lin-Lin
 4.34451215e-02 42320.562500 Lin-Lin
 4.40008231e-02 41814.039062 Lin-Lin
 4.73708808e-02 38742.226562 Lin-Lin
 4.75858971e-02 38558.835938 Lin-Lin
 4.78593260e-02 38325.597656 Lin-Lin
 5.13319820e-02 35363.351562 Lin-Lin
 5.18883727e-02 34888.742188 Lin-Lin
 5.21238931e-02 34701.703125 Lin-Lin
 5.50566167e-02 32372.433594 Lin-Lin
 5.60432114e-02 31588.847656 Lin-Lin
 5.78973107e-02 30221.621094 Lin-Lin
 5.86378686e-02 29675.480469 Lin-Lin
 5.96915670e-02 28898.410156 Lin-Lin
 6.15862645e-02 27601.763672 Lin-Lin
 6.31320924e-02 26543.873047 Lin-Lin
 6.42298236e-02 25850.816406 Lin-Lin
 6.67709187e-02 24246.501953 Lin-Lin
 6.69868588e-02 24121.222656 Lin-Lin
 6.84967414e-02 23245.273438 Lin-Lin
